Date,Start Date,End Date,Portfolio name,Campaign Type,Campaign Name,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Clicks,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),7 Day Total Orders (#),"Total Advertising Cost of Sales (ACoS) ","7 Day Total Sales "
"Dec 14, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,9511,53,0.56%,$39.92,$0.7532075,1,86.99%,$45.89
"Dec 14, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,11750,88,0.75%,$50.03,$0.5685226999999999,0,0.00%,$0.0
"Dec 14, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,2865,9,0.31%,$5.97,$0.6633333,0,0.00%,$0.0
"Dec 14, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,198,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Dec 14, 2018","Nov 27, 2018",,No Portfolio,Sponsored Products,长尾词,PAUSED,USD,$15.0,Manual targeting,Dynamic bids - down only,0,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Dec 15, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,4908,53,1.08%,$29.41,$0.5549057,0,0.00%,$0.0
"Dec 15, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,2931,16,0.55%,$10.95,$0.684375,0,0.00%,$0.0
"Dec 15, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,4958,25,0.50%,$16.57,$0.6628000000000001,0,0.00%,$0.0
"Dec 15, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,3582,18,0.50%,$11.07,$0.615,0,0.00%,$0.0
"Dec 15, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,6848,42,0.61%,$35.14,$0.8366667,1,76.57%,$45.89
"Dec 15, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,149,2,1.34%,$1.52,$0.76,0,0.00%,$0.0
"Dec 16, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,3004,32,1.07%,$16.29,$0.5090625,1,27.66%,$58.89
"Dec 16, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,285,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Dec 16, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,5037,28,0.56%,$17.79,$0.6353571,0,0.00%,$0.0
"Dec 16, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,3209,17,0.53%,$11.61,$0.6829412,0,0.00%,$0.0
"Dec 16, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,3282,15,0.46%,$11.11,$0.7406667,0,0.00%,$0.0
"Dec 16, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,3080,16,0.52%,$11.38,$0.71125,0,0.00%,$0.0
"Dec 17, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,187,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Dec 17, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,3079,12,0.39%,$7.47,$0.6225,1,16.28%,$45.89
"Dec 17, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,3240,30,0.93%,$15.12,$0.504,0,0.00%,$0.0
"Dec 17, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,3652,14,0.38%,$10.04,$0.7171429,0,0.00%,$0.0
"Dec 17, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,2380,16,0.67%,$11.0,$0.6875,0,0.00%,$0.0
"Dec 17, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,3423,22,0.64%,$15.88,$0.7218182,1,34.60%,$45.89
"Dec 18, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,3154,18,0.57%,$10.31,$0.5727778,2,11.23%,$91.78
"Dec 18, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,3941,16,0.41%,$10.15,$0.634375,0,0.00%,$0.0
"Dec 18, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,187,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Dec 18, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,2504,22,0.88%,$15.39,$0.6995454999999999,0,0.00%,$0.0
"Dec 18, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,2116,26,1.23%,$15.51,$0.5965385,0,0.00%,$0.0
"Dec 18, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,2109,10,0.47%,$7.37,$0.737,0,0.00%,$0.0
"Dec 19, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,4581,13,0.28%,$8.37,$0.6438462,0,0.00%,$0.0
"Dec 19, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,2669,23,0.86%,$15.48,$0.6730435,0,0.00%,$0.0
"Dec 19, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,977,1,0.10%,$0.76,$0.76,0,0.00%,$0.0
"Dec 19, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,2299,18,0.78%,$11.66,$0.6477778000000001,0,0.00%,$0.0
"Dec 19, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,2257,12,0.53%,$7.03,$0.5858333,0,0.00%,$0.0
"Dec 19, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,3290,33,1.00%,$16.42,$0.49757579999999996,0,0.00%,$0.0
"Dec 20, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,1872,2,0.11%,$1.44,$0.72,0,0.00%,$0.0
"Dec 20, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,2557,19,0.74%,$13.45,$0.7078947,0,0.00%,$0.0
"Dec 20, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,3125,15,0.48%,$8.19,$0.546,0,0.00%,$0.0
"Dec 20, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,2146,10,0.47%,$6.03,$0.603,0,0.00%,$0.0
"Dec 20, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,273,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Dec 20, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,3610,31,0.86%,$16.47,$0.5312903,0,0.00%,$0.0
"Dec 21, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,259,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Dec 21, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,1276,8,0.63%,$5.05,$0.63125,0,0.00%,$0.0
"Dec 21, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,1196,5,0.42%,$3.35,$0.67,0,0.00%,$0.0
"Dec 21, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,3376,35,1.04%,$14.47,$0.41342860000000003,0,0.00%,$0.0
"Dec 21, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,2841,14,0.49%,$10.29,$0.735,0,0.00%,$0.0
"Dec 21, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,2062,8,0.39%,$5.31,$0.66375,1,11.57%,$45.89
"Dec 22, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,3402,19,0.56%,$10.56,$0.5557894999999999,0,0.00%,$0.0
"Dec 22, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,222,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Dec 22, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,3138,36,1.15%,$14.64,$0.40666670000000005,1,24.86%,$58.89
"Dec 22, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,1573,8,0.51%,$5.06,$0.6325,0,0.00%,$0.0
"Dec 22, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,1537,7,0.46%,$5.55,$0.7928571,0,0.00%,$0.0
"Dec 22, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,1150,6,0.52%,$4.8,$0.8,0,0.00%,$0.0
"Dec 23, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,1336,8,0.60%,$4.79,$0.59875,0,0.00%,$0.0
"Dec 23, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,3126,35,1.12%,$14.44,$0.4125714,0,0.00%,$0.0
"Dec 23, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,1437,9,0.63%,$5.09,$0.5655556,1,11.09%,$45.89
"Dec 23, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,196,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Dec 23, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,965,3,0.31%,$1.87,$0.6233333,0,0.00%,$0.0
"Dec 23, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,1645,13,0.79%,$9.57,$0.7361538,0,0.00%,$0.0
"Dec 24, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,828,8,0.97%,$3.67,$0.45875,0,0.00%,$0.0
"Dec 24, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,1101,4,0.36%,$2.9,$0.725,0,0.00%,$0.0
"Dec 24, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,1465,30,2.05%,$14.47,$0.4823333,0,0.00%,$0.0
"Dec 24, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,792,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Dec 24, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,926,9,0.97%,$5.76,$0.64,0,0.00%,$0.0
"Dec 24, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,542,1,0.19%,$0.55,$0.55,0,0.00%,$0.0
"Dec 25, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,899,6,0.67%,$3.26,$0.5433333,0,0.00%,$0.0
"Dec 25, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,158,1,0.63%,$0.17,$0.17,0,0.00%,$0.0
"Dec 25, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,1313,9,0.69%,$5.51,$0.6122222,0,0.00%,$0.0
"Dec 25, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,1849,17,0.92%,$11.33,$0.6664705999999999,0,0.00%,$0.0
"Dec 25, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,2030,8,0.39%,$3.69,$0.46125,0,0.00%,$0.0
"Dec 25, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,2581,25,0.97%,$10.89,$0.43560000000000004,0,0.00%,$0.0
"Dec 26, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,2823,9,0.32%,$5.8,$0.6444444,0,0.00%,$0.0
"Dec 26, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,3072,12,0.39%,$5.92,$0.4933333,0,0.00%,$0.0
"Dec 26, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,669,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Dec 26, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,1183,16,1.35%,$9.5,$0.59375,1,16.13%,$58.89
"Dec 26, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,2488,8,0.32%,$5.09,$0.63625,0,0.00%,$0.0
"Dec 26, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,4856,17,0.35%,$11.05,$0.65,0,0.00%,$0.0
"Dec 27, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,2126,8,0.38%,$5.36,$0.67,0,0.00%,$0.0
"Dec 27, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,2459,16,0.65%,$11.41,$0.713125,1,24.86%,$45.89
"Dec 27, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,1241,21,1.69%,$9.56,$0.4552381,0,0.00%,$0.0
"Dec 27, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,3059,10,0.33%,$6.08,$0.608,0,0.00%,$0.0
"Dec 27, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,1069,8,0.75%,$5.64,$0.705,0,0.00%,$0.0
"Dec 27, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,428,2,0.47%,$1.31,$0.655,0,0.00%,$0.0
"Dec 28, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,4141,15,0.36%,$10.89,$0.726,0,0.00%,$0.0
"Dec 28, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,333,1,0.30%,$0.78,$0.78,0,0.00%,$0.0
"Dec 28, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,2502,8,0.32%,$4.76,$0.595,0,0.00%,$0.0
"Dec 28, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,2204,9,0.41%,$5.29,$0.5877778,0,0.00%,$0.0
"Dec 28, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,3699,10,0.27%,$5.54,$0.5539999999999999,0,0.00%,$0.0
"Dec 28, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,1318,22,1.67%,$9.6,$0.4363636,0,0.00%,$0.0
"Dec 29, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,4960,9,0.18%,$5.02,$0.5577778,0,0.00%,$0.0
"Dec 29, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,2115,20,0.95%,$9.45,$0.4725,0,0.00%,$0.0
"Dec 29, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,3332,9,0.27%,$5.15,$0.5722222,0,0.00%,$0.0
"Dec 29, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,3217,16,0.50%,$11.16,$0.6975,0,0.00%,$0.0
"Dec 29, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,497,1,0.20%,$0.49,$0.49,0,0.00%,$0.0
"Dec 29, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,3430,10,0.29%,$5.36,$0.536,0,0.00%,$0.0
"Dec 30, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,3448,11,0.32%,$5.77,$0.5245455,0,0.00%,$0.0
"Dec 30, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,2261,15,0.66%,$10.49,$0.6993332999999999,1,22.86%,$45.89
"Dec 30, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,2663,10,0.38%,$5.35,$0.535,0,0.00%,$0.0
"Dec 30, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,506,1,0.20%,$0.39,$0.39,0,0.00%,$0.0
"Dec 30, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,1224,20,1.63%,$9.63,$0.4815,0,0.00%,$0.0
"Dec 30, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,4204,7,0.17%,$4.43,$0.6328571000000001,0,0.00%,$0.0
"Dec 31, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,4839,9,0.19%,$5.16,$0.5733332999999999,0,0.00%,$0.0
"Dec 31, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,1967,12,0.61%,$4.55,$0.3791667,0,0.00%,$0.0
"Dec 31, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,1511,16,1.06%,$9.47,$0.591875,0,0.00%,$0.0
"Dec 31, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,4034,12,0.30%,$5.54,$0.46166670000000004,0,0.00%,$0.0
"Dec 31, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,2773,15,0.54%,$10.25,$0.6833333,0,0.00%,$0.0
"Dec 31, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,521,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Jan 1, 2019","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,810,3,0.37%,$1.94,$0.6466666999999999,0,0.00%,$0.0
"Jan 1, 2019","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,1262,19,1.51%,$10.2,$0.5368421,0,0.00%,$0.0
"Jan 1, 2019","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,4132,11,0.27%,$5.23,$0.4754545,0,0.00%,$0.0
"Jan 1, 2019","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,4869,10,0.21%,$5.13,$0.513,0,0.00%,$0.0
"Jan 1, 2019","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,2208,11,0.50%,$5.03,$0.4572727,2,3.65%,$137.67
"Jan 1, 2019","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,1184,18,1.52%,$10.81,$0.6005556,0,0.00%,$0.0
"Jan 2, 2019","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,3198,10,0.31%,$5.23,$0.523,0,0.00%,$0.0
"Jan 2, 2019","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,1202,2,0.17%,$1.44,$0.72,0,0.00%,$0.0
"Jan 2, 2019","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,1543,21,1.36%,$10.57,$0.5033333,0,0.00%,$0.0
"Jan 2, 2019","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,2051,10,0.49%,$5.54,$0.5539999999999999,0,0.00%,$0.0
