Date,Start Date,End Date,Portfolio name,Campaign Type,Campaign Name,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Clicks,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),7 Day Total Orders (#),"Total Advertising Cost of Sales (ACoS) ","7 Day Total Sales "
"Nov 26, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,3630,8,0.22%,$6.29,$0.78625,0,0.00%,$0.0
"Nov 26, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat - sunshine smile,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,2297,8,0.35%,$6.22,$0.7775,0,0.00%,$0.0
"Nov 26, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,1493,2,0.13%,$1.54,$0.77,0,0.00%,$0.0
"Nov 26, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- black marble manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,1662,10,0.60%,$6.6,$0.66,0,0.00%,$0.0
"Nov 26, 2018","Nov 11, 2018",,No Portfolio,Sponsored Products,214 mat - high cost,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,332,1,0.30%,$0.6,$0.6,0,0.00%,$0.0
"Nov 26, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,1090,8,0.73%,$5.92,$0.74,0,0.00%,$0.0
"Nov 26, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,6370,9,0.14%,$5.87,$0.6522222,2,6.40%,$91.78
"Nov 26, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat perfect day auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,823,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 27, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- black marble manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,86,1,1.16%,$0.47,$0.47,0,0.00%,$0.0
"Nov 27, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat - sunshine smile,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,378,1,0.27%,$0.34,$0.34,0,0.00%,$0.0
"Nov 27, 2018","Nov 27, 2018",,No Portfolio,Sponsored Products,长尾词,PAUSED,USD,$15.0,Manual targeting,Dynamic bids - down only,30,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 27, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat - plant auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,6,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 27, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat perfect day auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,124,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 27, 2018","Nov 11, 2018",,No Portfolio,Sponsored Products,214 mat - high cost,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,145,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 27, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- kitchen mat auto,PAUSED,USD,$15.0,Automatic targeting,Dynamic bids - down only,755,7,0.93%,$3.38,$0.48285710000000004,0,0.00%,$0.0
"Nov 27, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,5968,31,0.52%,$21.43,$0.6912903,1,46.70%,$45.89
"Nov 27, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- enjoy life manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,162,2,1.24%,$1.29,$0.645,0,0.00%,$0.0
"Nov 27, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- bedside mat auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,1590,4,0.25%,$2.35,$0.5875,0,0.00%,$0.0
"Nov 27, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,3176,32,1.01%,$18.85,$0.5890625,0,0.00%,$0.0
"Nov 27, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,5780,15,0.26%,$12.01,$0.8006667000000001,1,26.17%,$45.89
"Nov 27, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-kitchen mat manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,2,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 27, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,494,1,0.20%,$0.38,$0.38,0,0.00%,$0.0
"Nov 27, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,11378,55,0.48%,$39.97,$0.7267273,1,87.10%,$45.89
"Nov 27, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,510,2,0.39%,$1.25,$0.625,0,0.00%,$0.0
"Nov 28, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- kitchen mat auto,PAUSED,USD,$15.0,Automatic targeting,Dynamic bids - down only,7797,41,0.53%,$24.7,$0.602439,0,0.00%,$0.0
"Nov 28, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-kitchen mat manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,11,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 28, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- bedside mat auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,1340,2,0.15%,$1.41,$0.705,0,0.00%,$0.0
"Nov 28, 2018","Nov 27, 2018",,No Portfolio,Sponsored Products,长尾词,PAUSED,USD,$15.0,Manual targeting,Dynamic bids - down only,7,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
