"(Parent) ASIN","(Child) ASIN","Title","SKU","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Unit Session Percentage","Ordered Product Sales","Total Order Items"
"B07JJDG3G1","B07JHNJT7Q","Fluffy Soft Bedside Mat Rug -27.5"" x 63"" Runner Throw Rug Non-Slip Back- Fluffy Microfibers Throw for Girls Room-Water Absorbent Home Décor- Luxury Area Runners- Bathroom Rug Shag (Perfect Day)","1-pd-18","941","1.25%","1,244","1.28%","98%","13","1.38%","$865.67","13"
"B07JH5RJYF","B07JJ3HGSN","Desiderare Thick Fluffy Washroom Mat - 31"" x 19"" Luxury Microfiber Non-Slip Rubber Bath Rug - Super Absorbent Bathroom Carpet with Anti-Skid Back (Moroccan Wooden House)","NJ-C7KQ-TAF2","5,216","6.94%","7,030","7.22%","99%","15","0.29%","$588.12","13"
"B07JJDG3G1","B07JX5RN5K","Desiderare Thick Fluffy Bath Round Runner Rug -39.4"" x 39.4"" Luxury Microfiber Non-Slip Rubber Bath Rug Chenille Area Mat - Super Absorbent Bathroom Carpet with Anti-Skid Back","1-ss-18","926","1.23%","1,271","1.31%","100%","13","1.40%","$854.62","12"
"B07RRZSCSX","B07KK3RQNV","2 Piece Non-Slip Anti-Fatigue Kitchen Mat - (17.7"" x 29.5""+17.7"" x 59"") Soft Non Skid Throw Rugs Runner Carpet for Kitchen Hallway Entryway and Bedroom - Oil Resistant Long PVC Kitchen F (City map)","YH-UMKR-8PI5","1,639","2.18%","2,049","2.10%","100%","12","0.73%","$646.18","12"
"B07RRZSCSX","B07KJXZ3SG","2 Piece Non-Slip Anti-Fatigue Kitchen Mat - (17.7"" x 29.5""+17.7"" x 59"") Soft Non Skid Throw Rugs Runner Carpet for Kitchen Hallway Entryway Bedroom - Oil Resistant Long Ｍat(Marble Stone)","Marble Stone","1,846","2.45%","2,537","2.61%","100%","11","0.60%","$561.12","11"
"B07JH5RJYF","B07KZZ6QYP","Desiderare Thick Fluffy Washroom Mat - 31"" x 19"" Luxury Microfiber Non-Slip Rubber Bath Rug - Super Absorbent Bathroom Carpet with Anti-Skid Back ...","5K-7LP0-NF6L","1,241","1.65%","1,494","1.53%","100%","12","0.97%","$376.66","11"
"B07RRZSCSX","B07JGCH5CC","Anti-Fatigue Kitchen Mat | Pack of 2 | 2 Sizes| Professionally Designed | PVC Synthetic Fiber | Super Fashionable | Oil Prevent | Double Sided | (White Marble)","1-wm-18","1,413","1.88%","1,795","1.84%","100%","10","0.71%","$524.37","10"
"B07JH2JKVQ","B07KK3RQNV","2 Piece Non-Slip Anti-Fatigue Kitchen Mat - (17.7"" x 29.5""+17.7"" x 59"") Soft Non Skid Throw Rugs Runner Carpet for Kitchen Hallway Entryway and Bedroom - Oil Resistant Long PVC Kitchen F (City map)","YH-UMKR-8PI5","1,531","2.04%","1,875","1.93%","100%","11","0.72%","$644.49","10"
"B07JH5RJYF","B07KZZZDK4","Desiderare Thick Fluffy Washroom Mat - 31"" x 19"" Luxury Microfiber Non-Slip Rubber Bath Rug - Super Absorbent Bathroom Carpet with Anti-Skid Back","MR-P63C-5KYC","1,099","1.46%","1,322","1.36%","100%","10","0.91%","$406.83","10"
"B07JH2JKVQ","B07KJXY5SN","2 Piece Non-Slip Anti-Fatigue Kitchen Mat - (17.7"" x 29.5""+17.7"" x 59"") Soft Non Skid Throw Rugs Runner Carpet for Kitchen Hallway Entryway and Bedroom - Oil Resistant Long PVC Kitchen F (Golden map)","Y9-J10M-FC4H","1,027","1.37%","1,253","1.29%","100%","9","0.88%","$537.62","9"
"B07JH5RJYF","B07KZZ1S5G","Desiderare Thick Fluffy Washroom Mat - 31"" x 19"" Luxury Microfiber Non-Slip Rubber Bath Rug - Super Absorbent Bathroom Carpet with Anti-Skid Back ...","EP-LNZX-ZP2L","993","1.32%","1,167","1.20%","100%","9","0.91%","$387.21","9"
"B07RRZSCSX","B07RXLPJG8","Non-Slip Kitchen Mat, (17.7"" x 29.5"") Soft Non Skid Anti-Fatigue Throw Rugs Runner Carpet, PVC Synthetic Fiber for Kitchen Hallway Entryway and Bedroom, Long Kitchen Rugs (Purple)","UQ-WT44-Z13S","1,162","1.55%","1,392","1.43%","100%","9","0.77%","$216.11","9"
"B07JH5RJYF","B07JJC4NTT","Desiderare Thick Fluffy Washroom Mat - 31"" x 19"" Luxury Microfiber Non-Slip Rubber Bath Rug - Super Absorbent Bathroom Carpet with Anti-Skid Back(Moroccan Craftman)","Moroccan-Craftman","3,395","4.51%","4,488","4.61%","99%","6","0.18%","$257.62","6"
"B07JJDG3G1","B07JJY9K22","Desiderare Thick Fluffy Bath Runner Rug -63"" x 27.5"" Luxury Microfiber Non-Slip Rubber Bath Rug Chenille Area Mat - Super Absorbent Bathroom Carpet with Anti-Skid Back","1-pp-18","809","1.08%","1,072","1.10%","99%","6","0.74%","$379.33","6"
"B07JJDG3G1","B07JND9C85","Desiderare Thick Fluffy Bath Runner Rug -63"" x 27.5"" Luxury Microfiber Non-Slip Rubber Bath Rug Chenille Area Mat - Super Absorbent Bathroom Carpet with Anti-Skid Back","0P-DOPF-MKUI","624","0.83%","904","0.93%","100%","6","0.96%","$384.65","6"
"B07RRZSCSX","B07L3WFM1C","2 Piece Non-Slip Anti-Fatigue Kitchen Mat - (17.7"" x 29.5""+17.7"" x 59"") Soft Non Skid Throw Rugs Runner Carpet for Kitchen Hallway Entryway and Bedroom - Oil Resistant Long PVC Kitchen F (Pink Crown)","CL-PIWX-DDRG","1,100","1.46%","1,353","1.39%","100%","6","0.55%","$328.23","6"
"B07JH2JKVQ","B07L3YG763","2 Piece Non-Slip Anti-Fatigue Kitchen Mat - (17.7"" x 29.5""+17.7"" x 59"") Soft Non Skid Throw Rugs Runner Carpet for Kitchen Hallway Entryway and Bedroom - Oil Resistant Long PVC Kitchen F (Love air)","UH-GXSV-MK9W","895","1.19%","1,019","1.05%","100%","6","0.67%","$351.54","6"
"B07JH5RJYF","B07L118VDV","Desiderare Thick Fluffy Washroom Mat - 31"" x 19"" Luxury Microfiber Non-Slip Rubber Bath Rug - Super Absorbent Bathroom Carpet with Anti-Skid Back ...","0Z-IZIU-860V","1,073","1.43%","1,256","1.29%","100%","5","0.47%","$193.33","5"
"B07JH2JKVQ","B07L3VSQCT","2 Piece Non-Slip Anti-Fatigue Kitchen Mat - (17.7"" x 29.5""+17.7"" x 59"") Soft Non Skid Throw Rugs Runner Carpet for Kitchen Hallway Entryway and Bedroom - Oil Resistant Long PVC Kitchen F (Super Cook)","M4-LSWE-EXF8","753","1.00%","867","0.89%","100%","5","0.66%","$306.27","5"
"B07JH5RJYF","B07T35WHQ6","Desiderare Thick Fluffy Washroom Mat - 31"" x 19"" Luxury Microfiber Non-Slip Rubber Bath Rug - Super Absorbent Bathroom Carpet with Anti-Skid Back (Moroccan Craftman)","YX-UNKW-HZUX","126","0.17%","191","0.20%","100%","5","3.97%","$183.14","5"
"B07Z35SXCW","B07VW6QK7W","Desiderare 35"" x 23"" PVC Door Mat Shoes Scraper - Heavy Duty Doormat - Outdoor Gate Front Entry Pad Rug - Waterproof Easy Clean Mats for Entrance, Garage, Blue space","SQ-BS-60-90","92","0.12%","128","0.13%","100%","5","5.43%","$170.50","5"
"B07JH2JKVQ","B07JHVFFP8","Anti-Fatigue Kitchen Mat | Pack of 2 | 2 Sizes| Professionally Designed | PVC Synthetic Fiber | Super Fashionable | Oil Prevent | Double Sided | (Black Marble)","1-ne-18","2,725","3.62%","3,405","3.50%","98%","4","0.15%","$240.51","4"
