Customer search term,Keywords,Match type,Impressions,Clicks,CTR(%),Spend(USD),CPC(USD),Orders,Sales(USD),ACOS(%),RoAS,Conversion rate
moose bath mats,bath mat,PHRASE,5,1,20,0.74,0.74,0,0.00,,0,0
moroccan,moroccan,BROAD,24,3,12.5,1.71,0.57,0,0.00,,0,0
moroccan decor for home,moroccan,BROAD,1,1,100,0.49,0.49,0,0.00,,0,0
moroccan decorations for home,moroccan,BROAD,2,1,50,0.47,0.47,0,0.00,,0,0
moroccan home decorations,moroccan,BROAD,6,1,16.6667,0.74,0.74,0,0.00,,0,0
moroccan kitchen accessories,moroccan,BROAD,1,1,100,0.47,0.47,0,0.00,,0,0
moroccan rug 2x3,moroccan rug,BROAD,1,1,100,0.80,0.80,0,0.00,,0,0
moroccan shower curtain,moroccan,BROAD,4,2,50,1.53,0.77,0,0.00,,0,0
mystical bath mat,bath mat,PHRASE,2,1,50,0.52,0.52,0,0.00,,0,0
natural bathroom mat,bathroom mat,PHRASE,1,1,100,0.54,0.54,0,0.00,,0,0
navy mat rug,rug mat,BROAD,1,1,100,0.79,0.79,0,0.00,,0,0
non slip bohemian mat,non slip mat,BROAD,2,1,50,0.47,0.47,0,0.00,,0,0
non slip chenille mat patterned,non slip mat,BROAD,4,1,25,0.61,0.61,0,0.00,,0,0
non slip suspendion mat,non slip mat,BROAD,1,1,100,0.50,0.50,0,0.00,,0,0
panda bath rugs,bath rug,PHRASE,2,1,50,0.52,0.52,0,0.00,,0,0
peachy clean bath mat,bath mat,PHRASE,3,1,33.3333,0.44,0.44,0,0.00,,0,0
pinecone bath rugs,bath rug,PHRASE,2,1,50,0.58,0.58,0,0.00,,0,0
plush round bath mat 2x2 brown,bath mat,PHRASE,1,1,100,0.80,0.80,0,0.00,,0,0
round bathroom mats and rugs,round bathroom rugs and mats,BROAD,1,1,100,0.49,0.49,0,0.00,,0,0
round bathroom rug,round bathroom rug,BROAD,2,1,50,0.49,0.49,0,0.00,,0,0
round cotton crochet bathroom mat green,bathroom mat green,PHRASE,1,1,100,0.47,0.47,0,0.00,,0,0
round crochet rug,round rug,BROAD,3,1,33.3333,0.44,0.44,0,0.00,,0,0
round rug dollie,round rug,BROAD,2,1,50,0.80,0.80,0,0.00,,0,0
round rugs 8ft modern blue,modern rug,BROAD,1,1,100,0.49,0.49,0,0.00,,0,0
rubber farm sink mat,rubber mat,BROAD,1,1,100,0.51,0.51,0,0.00,,0,0
rug 31 x 45,rug,BROAD,4,1,25,0.10,0.10,0,0.00,,0,0
script bath mat,bath mat,PHRASE,2,1,50,0.75,0.75,0,0.00,,0,0
sea theme bathroom mats with toilet cover,bathroom mat,PHRASE,2,1,50,0.41,0.41,0,0.00,,0,0
shag rug sale,shag rug,BROAD,1,1,100,0.60,0.60,0,0.00,,0,0
small bath mat naked,bath mat,PHRASE,1,1,100,0.80,0.80,0,0.00,,0,0
small bathroom mat dark grey round,bathroom mat,PHRASE,1,1,100,0.43,0.43,0,0.00,,0,0
small half round bath mat,bath mat,PHRASE,1,1,100,0.47,0.47,0,0.00,,0,0
small white bath mat,white bath mat,BROAD,1,1,100,0.94,0.94,0,0.00,,0,0
sparkle gray bathroom mat,bathroom mat,PHRASE,1,1,100,0.44,0.44,0,0.00,,0,0
square bath mat,bath mat,PHRASE,1,1,100,0.78,0.78,0,0.00,,0,0
teal southwest bathroom mat set,bathroom mat set,PHRASE,1,1,100,0.51,0.51,0,0.00,,0,0
textured shag rug,shag rug,BROAD,1,1,100,0.61,0.61,0,0.00,,0,0
white bathroom full-size floor carpets,bathroom carpet,BROAD,2,1,50,0.48,0.48,0,0.00,,0,0
white teak bath mat,white bath mat,BROAD,1,1,100,0.20,0.20,0,0.00,,0,0
yellow bath mat,bath mat,PHRASE,4,2,50,1.48,0.74,0,0.00,,0,0
yokii boho moroccan,moroccan,BROAD,1,1,100,0.48,0.48,0,0.00,,0,0
