Customer search term,Keywords,Match type,Impressions,Clicks,CTR(%),Spend(USD),CPC(USD),Orders,Sales(USD),ACOS(%),RoAS,Conversion rate
personalized bathroom carpets,bathroom carpet,BROAD,2,1,50,0.36,0.36,0,0.00,,0,0
pink runner with tessles,pink runner,BROAD,2,1,50,0.32,0.32,0,0.00,,0,0
rag throw rugs washable,throw rugs,BROAD,15,1,6.6667,0.52,0.52,0,0.00,,0,0
red rug with white snowflakes,rug,BROAD,2,1,50,0.57,0.57,0,0.00,,0,0
religious bath rugs,bath rug,BROAD,2,1,50,0.32,0.32,0,0.00,,0,0
round bathroom rug,rug,BROAD,25,1,4,0.54,0.54,0,0.00,,0,0
round thick rugs,thick rug,BROAD,2,1,50,0.96,0.96,0,0.00,,0,0
rubber back rug low threshold,rubber back rugs,BROAD,2,1,50,0.39,0.39,0,0.00,,0,0
rubber back rugs 3x5,rubber back rugs,BROAD,2,1,50,0.40,0.40,0,0.00,,0,0
rubber duck bathroom mat,rubber mat,BROAD,2,1,50,0.68,0.68,0,0.00,,0,0
rubber kitchen mat with cows,rubber mat,BROAD,2,1,50,1.01,1.01,0,0.00,,0,0
rubber mat for bathtub,rubber mat,BROAD,2,1,50,0.71,0.71,0,0.00,,0,0
rubber spill mat 20”,rubber mat,BROAD,1,1,100,0.52,0.52,1,39.99,1.3003,76.9038,100
rubber stair mat,rubber mat,BROAD,2,1,50,1.09,1.09,0,0.00,,0,0
rubber step mats,rubber mat,BROAD,3,2,66.6667,1.72,0.86,0,0.00,,0,0
rug,rug,BROAD,342,3,0.8772,0.94,0.31,0,0.00,,0,0
rug 19&#34 x28&#34 non slip,non slip rug,BROAD,1,1,100,0.69,0.69,0,0.00,,0,0
rug designer round tulip super soft non slip,non slip rug,BROAD,2,1,50,0.27,0.27,0,0.00,,0,0
rug with cats,rug,BROAD,1,1,100,0.43,0.43,0,0.00,,0,0
rugs,rug,BROAD,578,3,0.519,1.59,0.53,0,0.00,,0,0
rugs 8x10 super thick,thick rug,BROAD,4,1,25,0.60,0.60,0,0.00,,0,0
runner rug for hallway,runner rug,BROAD,1,1,100,0.10,0.10,0,0.00,,0,0
snakeskin bathroom rugs,rug,BROAD,1,1,100,0.21,0.21,0,0.00,,0,0
surfboard rugs for bathroom,rug,BROAD,1,1,100,0.17,0.17,0,0.00,,0,0
thick bath mat,thick,BROAD,3,1,33.3333,0.59,0.59,0,0.00,,0,0
thick fluffy washroom mat,thick,BROAD,2,1,50,0.83,0.83,0,0.00,,0,0
thick ikea flatwear,thick,BROAD,1,1,100,0.59,0.59,0,0.00,,0,0
thick turkish bath rug,thick rug,BROAD,2,1,50,0.91,0.91,0,0.00,,0,0
throw rugs and runners,throw rugs runners,PHRASE,1,1,100,0.71,0.71,0,0.00,,0,0
tropical bathroom rugs,rug,BROAD,1,1,100,0.11,0.11,0,0.00,,0,0
very thin rug,rug,BROAD,1,1,100,0.54,0.54,1,29.99,1.8006,55.537,100
washable rug,rug,BROAD,10,1,10,0.56,0.56,0,0.00,,0,0
wooden bath mats,wooden bath mats,BROAD,12,2,16.6667,1.56,0.78,0,0.00,,0,0
xl bath carpet,bath carpet,BROAD,1,1,100,0.62,0.62,0,0.00,,0,0
