kitchen mat	Broad	0.48
kitchen rugs and mats	Broad	0.49
kitchen rugs	Broad	0.43
anti fatigue mat	Broad	0.5
kitchen floor mat	Broad	0.49
kitchen runner	Broad	0.43
anti fatigue mat kitchen	Broad	0.49
kitchen rug runner	Broad	0.48
kitchen carpets and rugs	Broad	0.34
long kitchen mat	Broad	0.41
kitchen mat rug	Broad	0.49
vinyl floor runner	Broad	0.38
runner rug kitchen	Broad	0.53
